case_id,trial,negative,status,decision,code_passed,judgement,overall_passed,turns,tokens_in,tokens_out,cost_usd,failures
CLM-8842,1,False,error,,False,not_reviewable,False,4,11290,1639,0.019485,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 47120: missing line occurrence; line[1] 62480: missing line occurrence; line[2] 31255: missing line occurrence; wrong approved_total; wrong refused_total
CLM-8850,1,False,error,,False,not_reviewable,False,5,13680,1302,0.02019,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 99213: missing line occurrence; wrong approved_total; wrong refused_total
CLM-8861,1,False,completed,approve_in_principle,True,pass,True,6,17409,1668,0.025749,
CLM-8874,1,False,completed,approve_in_principle,True,pass,True,6,17024,1544,0.024744000000000002,
CLM-8888,1,True,not_recorded,request_document,False,not_reviewable,False,4,10926,1036,0.016106000000000002,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; missing core coverage evidence; line[2] 31255: wrong status; line[2] 31255: wrong exclusion
CLM-8888,2,True,not_recorded,request_document,False,not_reviewable,False,4,10926,1036,0.016106000000000002,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; missing core coverage evidence; line[2] 31255: wrong status; line[2] 31255: wrong exclusion
CLM-8888,3,True,not_recorded,request_document,False,not_reviewable,False,4,10926,1036,0.016106000000000002,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; missing core coverage evidence; line[2] 31255: wrong status; line[2] 31255: wrong exclusion
CLM-8894,1,True,error,,False,not_reviewable,False,6,16906,2093,0.027371,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; wrong named missing item / line / service date
CLM-8894,2,True,error,,False,not_reviewable,False,5,13851,1322,0.020461,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; 29881: missing check_documents; wrong named missing item / line / service date
CLM-8894,3,True,error,,False,not_reviewable,False,6,16906,2093,0.027371,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; wrong named missing item / line / service date
CLM-8901,1,True,not_recorded,request_document,False,not_reviewable,False,5,13685,1035,0.01886,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8901,2,True,not_recorded,request_document,False,not_reviewable,False,5,13685,1035,0.01886,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8901,3,True,not_recorded,request_document,False,not_reviewable,False,5,13685,1035,0.01886,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8910,1,True,not_recorded,escalate,False,not_reviewable,False,4,10885,582,0.013794999999999998,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; wrong escalation trigger
CLM-8910,2,True,not_recorded,escalate,False,not_reviewable,False,4,10885,582,0.013794999999999998,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; wrong escalation trigger
CLM-8910,3,True,not_recorded,escalate,False,not_reviewable,False,4,10885,582,0.013794999999999998,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence; wrong escalation trigger
CLM-8917,1,True,not_recorded,escalate,False,not_reviewable,False,4,10743,554,0.013512999999999999,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
