case_id,trial,negative,status,decision,code_passed,judgement,overall_passed,turns,tokens_in,tokens_out,cost_usd,failures
CLM-8842,1,False,completed_with_tool_issues,approve_in_principle,False,not_reviewable,False,6,15989,1629,0.004952641,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-8850,1,False,completed,approve_in_principle,True,pending,False,5,12144,658,0.003529936,
CLM-8861,1,False,completed,approve_in_principle,True,pending,False,6,15220,1031,0.0045065800000000005,
CLM-8874,1,False,completed_with_tool_issues,approve_in_principle,False,not_reviewable,False,6,14703,948,0.004334307,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-8888,1,True,completed_with_tool_issues,request_document,False,not_reviewable,False,7,18749,1858,0.005786681,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace; 62480: missing preauth lookup
CLM-8888,2,True,completed_with_tool_issues,request_document,False,not_reviewable,False,7,18773,1761,0.005754337,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace; 62480: missing preauth lookup
CLM-8888,3,True,completed_with_tool_issues,request_document,False,not_reviewable,False,7,18752,1762,0.005749088,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace; 62480: missing preauth lookup
CLM-8894,1,True,completed,request_document,True,pending,False,6,15017,906,0.004401973,
CLM-8894,2,True,completed,request_document,True,pending,False,6,15023,965,0.004427187,
CLM-8894,3,True,completed,request_document,True,pending,False,6,15027,948,0.004421463,
CLM-8901,1,True,completed,request_document,True,pending,False,5,12162,836,0.003605978,
CLM-8901,2,True,completed,request_document,True,pending,False,5,12142,767,0.003572998,
CLM-8901,3,True,completed,request_document,True,pending,False,5,12138,791,0.003581522,
CLM-8910,1,True,completed,escalate,True,pending,False,5,12400,638,0.0035908000000000003,
CLM-8910,2,True,completed,escalate,True,pending,False,6,14708,685,0.004230452,
CLM-8910,3,True,completed,escalate,True,pending,False,5,12390,668,0.0036001100000000005,
CLM-8917,1,True,completed,escalate,True,pending,False,5,12076,598,0.0034876440000000002,
CLM-8917,2,True,completed,escalate,True,pending,False,5,12069,615,0.003492561,
CLM-8917,3,True,completed,escalate,True,pending,False,5,12102,659,0.0035190380000000004,
CLM-8925,1,True,completed,escalate,True,pending,False,5,12665,728,0.0036980850000000003,
CLM-8925,2,True,completed_with_tool_issues,escalate,False,not_reviewable,False,5,12736,714,0.0037115839999999995,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-8925,3,True,completed,escalate,True,pending,False,5,12668,643,0.0036648920000000003,
CLM-8933,1,True,completed,escalate,True,pending,False,4,9422,438,0.002709718,
CLM-8933,2,True,completed,escalate,True,pending,False,4,9421,416,0.0027006490000000003,
CLM-8933,3,True,completed,escalate,True,pending,False,4,9431,451,0.002717339,
CLM-8941,1,True,completed,escalate,True,pending,False,5,12237,838,0.003626953,
CLM-8941,2,True,completed,escalate,True,pending,False,4,9291,526,0.002709679,
CLM-8941,3,True,completed,escalate,True,pending,False,4,9546,679,0.0028394740000000003,
CLM-8952,1,True,completed,escalate,True,pending,False,5,12288,752,0.0036062719999999998,
CLM-8952,2,True,completed_with_tool_issues,escalate,False,not_reviewable,False,6,14335,668,0.004123315000000001,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-8952,3,True,completed,escalate,True,pending,False,6,14656,1198,0.004421664,
CLM-8960,1,False,error,,False,not_reviewable,False,5,12897,940,0.0038452930000000005,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; write/final mismatch: decision; write/final mismatch: reason; write/final mismatch: evidence; write/final mismatch: lines; write/final mismatch: approved_total; write/final mismatch: refused_total; unsupported evidence citations; wrong line count; line[0] 99213: missing line occurrence; line[1] 80053: missing line occurrence; line[2] 70553: missing line occurrence; line[3] 45378: missing line occurrence; wrong approved_total; wrong refused_total
CLM-8971,1,False,completed,approve_in_principle,True,pending,False,6,14449,763,0.004191981,
CLM-16001,1,False,completed,approve_in_principle,True,pending,False,5,12803,962,0.003828807,
CLM-16002,1,False,completed,approve_in_principle,True,pending,False,6,14938,941,0.004394722,
CLM-16003,1,False,completed,approve_in_principle,True,pending,False,5,12354,752,0.0036240260000000002,
CLM-16004,1,False,completed,approve_in_principle,True,pending,False,6,15184,1124,0.004534096,
CLM-16005,1,True,completed,request_document,True,pending,False,6,14897,1076,0.004437693,
CLM-16005,2,True,completed,request_document,True,pending,False,6,14874,965,0.004387106,
CLM-16005,3,True,completed,request_document,True,pending,False,6,14904,1021,0.004417576,
CLM-16101,1,False,completed,approve_in_principle,True,pending,False,6,14751,1048,0.004387219,
CLM-16102,1,False,completed,approve_in_principle,True,pending,False,6,14695,805,0.004274955,
CLM-16103,1,False,completed,approve_in_principle,True,pending,False,6,14736,957,0.004346784,
CLM-16104,1,False,completed,approve_in_principle,True,pending,False,6,15580,4257,0.005893820000000001,
CLM-16105,1,True,completed,request_document,True,pending,False,6,14759,1083,0.0044033710000000005,
CLM-16105,2,True,completed,request_document,True,pending,False,6,14758,1214,0.004455502,
CLM-16105,3,True,completed,request_document,True,pending,False,6,14762,1084,0.004404578,
CLM-16201,1,False,completed,approve_in_principle,True,pending,False,5,12120,1003,0.0036614800000000004,
CLM-16202,1,False,error,,False,not_reviewable,False,3,6879,254,0.001952051,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; missing core coverage evidence; wrong line count; line[0] 47120: missing line occurrence; wrong approved_total; wrong refused_total
CLM-16203,1,False,completed,approve_in_principle,True,pending,False,5,12047,735,0.003534643,
CLM-16204,1,False,completed,approve_in_principle,True,pending,False,5,12163,714,0.003557447000000001,
CLM-16205,1,True,completed,escalate,True,pending,False,6,14461,842,0.004226809,
CLM-16205,2,True,completed,escalate,True,pending,False,5,12132,1186,0.003737908,
CLM-16205,3,True,completed,escalate,True,pending,False,5,11802,849,0.003514338,
CLM-16301,1,False,completed,approve_in_principle,True,pending,False,5,12175,685,0.003549075,
CLM-16302,1,False,completed,approve_in_principle,True,pending,False,5,12161,708,0.003554509,
CLM-16303,1,False,completed,approve_in_principle,True,pending,False,5,12063,834,0.0035785469999999996,
CLM-16304,1,False,completed,approve_in_principle,True,pending,False,5,12538,810,0.0036967219999999995,
CLM-16305,1,True,completed,escalate,True,pending,False,5,12143,594,0.0035040670000000005,
CLM-16305,2,True,completed,escalate,True,pending,False,5,12128,632,0.0035152320000000005,
CLM-16305,3,True,completed,escalate,True,pending,False,5,12128,718,0.003549632,
CLM-16401,1,False,completed,approve_in_principle,True,pending,False,6,14635,850,0.004276815,
CLM-16402,1,False,completed,approve_in_principle,True,pending,False,5,12272,796,0.003619568,
CLM-16403,1,False,completed,approve_in_principle,True,pending,False,6,15744,1172,0.004703936000000001,
CLM-16404,1,False,completed_with_tool_issues,approve_in_principle,False,not_reviewable,False,7,18411,1443,0.005529759,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-16405,1,True,completed,escalate,True,pending,False,5,12218,580,0.0035186419999999998,
CLM-16405,2,True,completed,escalate,True,pending,False,5,12218,578,0.003517842,
CLM-16405,3,True,completed,escalate,True,pending,False,5,12212,587,0.003519828,
CLM-16501,1,False,completed,approve_in_principle,True,pending,False,5,12169,734,0.0035670610000000003,
CLM-16502,1,False,completed,approve_in_principle,True,pending,False,5,12346,816,0.003647474,
CLM-16503,1,False,completed,approve_in_principle,True,pending,False,5,12187,884,0.003631903,
CLM-16504,1,False,completed,approve_in_principle,True,pending,False,5,12247,869,0.0036420430000000006,
CLM-16505,1,True,completed,escalate,True,pending,False,4,9422,451,0.002714918,
CLM-16505,2,True,completed,escalate,True,pending,False,4,9422,496,0.002732918,
CLM-16505,3,True,completed_with_tool_issues,escalate,False,not_reviewable,False,4,9510,457,0.00274099,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
