member,model,scenario,success_rate,success_rate_delta_pp,layer1_usd_per_task,layer2_usd_per_task,cost_per_successful_task_usd,monthly_variable_plus_fallback_usd,monthly_total_with_layer3_base_usd
LI_LINGHAO,deepseek/deepseek-v3.2,lower,0.846667,-10,0.0037714823,1.1653333333,1.1691048156,9352.838525,9552.838525
LI_LINGHAO,deepseek/deepseek-v3.2,lower,0.896667,-5,0.0037714823,0.7853333333,0.7891048156,6312.838525,6512.838525
LI_LINGHAO,deepseek/deepseek-v3.2,centre,0.946667,0,0.0037714823,0.4053333333,0.4091048156,3272.838525,3472.838525
LI_LINGHAO,deepseek/deepseek-v3.2,upper,0.996667,5,0.0037714823,0.0253333333,0.0291048156,232.838525,432.838525
LI_LINGHAO,deepseek/deepseek-v3.2,upper,1.000000,10,0.0037714823,0.0000000000,0.0037714823,30.171858,230.171858
ZHOU_SIHAN,deepseek/deepseek-v3.2,lower,0.753333,-10,0.0038853147,1.8746666667,1.8785519814,15028.415851,15228.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,lower,0.803333,-5,0.0038853147,1.4946666667,1.4985519814,11988.415851,12188.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,centre,0.853333,0,0.0038853147,1.1146666667,1.1185519814,8948.415851,9148.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,upper,0.903333,5,0.0038853147,0.7346666667,0.7385519814,5908.415851,6108.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,upper,0.953333,10,0.0038853147,0.3546666667,0.3585519814,2868.415851,3068.415851
CHEN_MINGSONG,google/gemini-2.5-flash-lite,lower,0.000000,-10,0.0019613667,7.6000000000,7.6019613667,60815.690933,61015.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,lower,0.000000,-5,0.0019613667,7.6000000000,7.6019613667,60815.690933,61015.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,centre,0.040000,0,0.0019613667,7.2960000000,7.2979613667,58383.690933,58583.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,upper,0.090000,5,0.0019613667,6.9160000000,6.9179613667,55343.690933,55543.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,upper,0.140000,10,0.0019613667,6.5360000000,6.5379613667,52303.690933,52503.690933
LU_XINZE,qwen/qwen3-235b-a22b-2507,lower,0.046667,-10,0.0009716548,7.2453333333,7.2463049882,57970.439905,58170.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,lower,0.096667,-5,0.0009716548,6.8653333333,6.8663049882,54930.439905,55130.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,centre,0.146667,0,0.0009716548,6.4853333333,6.4863049882,51890.439905,52090.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,upper,0.196667,5,0.0009716548,6.1053333333,6.1063049882,48850.439905,49050.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,upper,0.246667,10,0.0009716548,5.7253333333,5.7263049882,45810.439905,46010.439905
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,lower,0.206667,-10,0.0011549746,6.0293333333,6.0304883079,48243.906463,48443.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,lower,0.256667,-5,0.0011549746,5.6493333333,5.6504883079,45203.906463,45403.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,centre,0.306667,0,0.0011549746,5.2693333333,5.2704883079,42163.906463,42363.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,upper,0.356667,5,0.0011549746,4.8893333333,4.8904883079,39123.906463,39323.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,upper,0.406667,10,0.0011549746,4.5093333333,4.5104883079,36083.906463,36283.906463
DAI_MINFEI,anthropic/claude-haiku-4.5,lower,0.273333,-10,0.0180831067,5.5226666667,5.5407497733,44325.998187,44525.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,lower,0.323333,-5,0.0180831067,5.1426666667,5.1607497733,41285.998187,41485.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,centre,0.373333,0,0.0180831067,4.7626666667,4.7807497733,38245.998187,38445.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,upper,0.423333,5,0.0180831067,4.3826666667,4.4007497733,35205.998187,35405.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,upper,0.473333,10,0.0180831067,4.0026666667,4.0207497733,32165.998187,32365.998187
