member,model,variable_plus_fallback_usd_per_task,monthly_volume,layer3_fixed_monthly_usd,layer3_per_claim_allocation_usd,monthly_total_usd
LI_LINGHAO,deepseek/deepseek-v3.2,0.4091048156,8000,0.0,0.0000000000,3272.838525
LI_LINGHAO,deepseek/deepseek-v3.2,0.4091048156,8000,100.0,0.0125000000,3372.838525
LI_LINGHAO,deepseek/deepseek-v3.2,0.4091048156,8000,200.0,0.0250000000,3472.838525
LI_LINGHAO,deepseek/deepseek-v3.2,0.4091048156,8000,500.0,0.0625000000,3772.838525
LI_LINGHAO,deepseek/deepseek-v3.2,0.4091048156,8000,1000.0,0.1250000000,4272.838525
ZHOU_SIHAN,deepseek/deepseek-v3.2,1.1185519814,8000,0.0,0.0000000000,8948.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,1.1185519814,8000,100.0,0.0125000000,9048.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,1.1185519814,8000,200.0,0.0250000000,9148.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,1.1185519814,8000,500.0,0.0625000000,9448.415851
ZHOU_SIHAN,deepseek/deepseek-v3.2,1.1185519814,8000,1000.0,0.1250000000,9948.415851
CHEN_MINGSONG,google/gemini-2.5-flash-lite,7.2979613667,8000,0.0,0.0000000000,58383.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,7.2979613667,8000,100.0,0.0125000000,58483.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,7.2979613667,8000,200.0,0.0250000000,58583.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,7.2979613667,8000,500.0,0.0625000000,58883.690933
CHEN_MINGSONG,google/gemini-2.5-flash-lite,7.2979613667,8000,1000.0,0.1250000000,59383.690933
LU_XINZE,qwen/qwen3-235b-a22b-2507,6.4863049882,8000,0.0,0.0000000000,51890.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,6.4863049882,8000,100.0,0.0125000000,51990.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,6.4863049882,8000,200.0,0.0250000000,52090.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,6.4863049882,8000,500.0,0.0625000000,52390.439905
LU_XINZE,qwen/qwen3-235b-a22b-2507,6.4863049882,8000,1000.0,0.1250000000,52890.439905
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,5.2704883079,8000,0.0,0.0000000000,42163.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,5.2704883079,8000,100.0,0.0125000000,42263.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,5.2704883079,8000,200.0,0.0250000000,42363.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,5.2704883079,8000,500.0,0.0625000000,42663.906463
WANG_YI,mistralai/mistral-small-3.2-24b-instruct,5.2704883079,8000,1000.0,0.1250000000,43163.906463
DAI_MINFEI,anthropic/claude-haiku-4.5,4.7807497733,8000,0.0,0.0000000000,38245.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,4.7807497733,8000,100.0,0.0125000000,38345.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,4.7807497733,8000,200.0,0.0250000000,38445.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,4.7807497733,8000,500.0,0.0625000000,38745.998187
DAI_MINFEI,anthropic/claude-haiku-4.5,4.7807497733,8000,1000.0,0.1250000000,39245.998187
