case_id,trial,negative,status,decision,code_passed,judgement,overall_passed,turns,tokens_in,tokens_out,cost_usd,failures
CLM-8842,1,False,completed,approve_in_principle,False,pending,False,6,11297,1328,0.0035700930000000003,47120: wrong code; 47120: wrong amount; 47120: wrong status; 62480: wrong code; 62480: wrong amount; 62480: wrong status; 62480: wrong preauth; 31255: wrong code; 31255: wrong amount; 31255: wrong status; 31255: wrong exclusion
CLM-8850,1,False,completed,approve_in_principle,False,pending,False,5,8427,668,0.002534063,99213: wrong code; 99213: wrong amount; 99213: wrong status
CLM-8861,1,False,completed,approve_in_principle,False,pending,False,6,10743,940,0.0032658670000000004,27447: wrong code; 27447: wrong amount; 27447: wrong status; 27447: wrong preauth; 80053: wrong code; 80053: wrong amount; 80053: wrong status
CLM-8874,1,False,completed,approve_in_principle,False,pending,False,5,8539,698,0.0025761910000000002,70553: wrong code; 70553: wrong amount; 70553: wrong status
CLM-8888,1,True,not_recorded,request_document,False,not_reviewable,False,5,8736,712,0.002634784,execution not completed: not_recorded; expected one actual gated write; missing or unsuccessful tool trace; missing read/write evidence; unsupported evidence citations; wrong line count; 47120: wrong code; 47120: wrong amount; 47120: wrong status; 62480: wrong code; 62480: wrong amount; 62480: wrong status; 62480: missing preauth lookup; 31255: wrong code; 31255: wrong amount; 31255: wrong status; 31255: wrong exclusion; wrong named missing item / line / service date
CLM-8888,2,True,stopped,,False,not_reviewable,False,8,14936,1692,0.004694584000000001,execution not completed: stopped; wrong decision; write/final mismatch: decision; write/final mismatch: reason; write/final mismatch: evidence; write/final mismatch: missing; missing or unsuccessful tool trace; unsupported evidence citations; wrong line count; 47120: wrong code; 47120: wrong amount; 47120: wrong status; 62480: wrong code; 62480: wrong amount; 62480: wrong status; 62480: missing preauth lookup; 31255: wrong code; 31255: wrong amount; 31255: wrong status; 31255: wrong exclusion; wrong named missing item / line / service date
CLM-8888,3,True,completed_with_tool_issues,request_document,False,not_reviewable,False,7,13073,1197,0.003995437000000001,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace; wrong line count; 47120: wrong code; 47120: wrong amount; 47120: wrong status; 62480: wrong code; 62480: wrong amount; 62480: wrong status; 62480: missing preauth lookup; 31255: wrong code; 31255: wrong amount; 31255: wrong status; 31255: wrong exclusion; wrong named missing item / line / service date
CLM-8894,1,True,completed,request_document,False,pending,False,6,10505,996,0.003224245,wrong line count; 29881: wrong code; 29881: wrong amount; 29881: wrong status; wrong named missing item / line / service date
CLM-8894,2,True,completed,request_document,False,pending,False,6,10522,1038,0.0032456180000000005,wrong line count; 29881: wrong code; 29881: wrong amount; 29881: wrong status; wrong named missing item / line / service date
CLM-8894,3,True,completed,request_document,False,pending,False,6,10505,1078,0.0032570450000000005,wrong line count; 29881: wrong code; 29881: wrong amount; 29881: wrong status; wrong named missing item / line / service date
CLM-8901,1,True,completed,request_document,False,pending,False,5,8406,628,0.002512414,wrong line count; 45378: wrong code; 45378: wrong amount; 45378: wrong status
CLM-8901,2,True,completed,request_document,False,pending,False,5,8429,823,0.002596601,wrong line count; 45378: wrong code; 45378: wrong amount; 45378: wrong status
CLM-8901,3,True,completed,request_document,False,pending,False,5,8412,683,0.002536028,wrong line count; 45378: wrong code; 45378: wrong amount; 45378: wrong status
CLM-8910,1,True,completed,escalate,True,pending,False,5,8688,557,0.002559872,
CLM-8910,2,True,completed,escalate,True,pending,False,5,8672,627,0.0025835680000000005,
CLM-8910,3,True,completed,escalate,True,pending,False,5,8458,599,0.002514802,
CLM-8917,1,True,completed,escalate,True,pending,False,5,8372,539,0.002467668,
CLM-8917,2,True,completed,escalate,True,pending,False,5,8402,608,0.002503338,
CLM-8917,3,True,completed,escalate,True,pending,False,5,8402,620,0.002508138,
CLM-8925,1,True,completed,escalate,True,pending,False,5,8977,652,0.002675613,
CLM-8925,2,True,completed,escalate,True,pending,False,5,8991,637,0.002673379,
CLM-8925,3,True,completed,escalate,True,pending,False,5,8977,632,0.002667613,
CLM-8933,1,True,completed,escalate,True,pending,False,4,6223,330,0.0018059869999999998,
CLM-8933,2,True,completed,escalate,True,pending,False,4,6469,514,0.0019457610000000003,
CLM-8933,3,True,completed,escalate,True,pending,False,4,6223,358,0.001817187,
CLM-8941,1,True,completed,escalate,True,pending,False,4,6391,1165,0.002185179,
CLM-8941,2,True,completed,escalate,True,pending,False,4,6391,1044,0.002136779,
CLM-8941,3,True,completed,escalate,True,pending,False,4,6315,540,0.001914735,
CLM-8952,1,True,completed,escalate,True,pending,False,5,8567,724,0.002594123,
