case_id,trial,negative,status,decision,code_passed,judgement,overall_passed,turns,tokens_in,tokens_out,cost_usd,failures
CLM-8842,1,False,completed,approve_in_principle,True,pass,True,5,13234,1186,0.004034346,
CLM-8850,1,False,completed,approve_in_principle,True,pass,True,5,12351,705,0.003604419,
CLM-8861,1,False,completed,approve_in_principle,True,pass,True,7,17935,1245,0.005322515,
CLM-8874,1,False,completed,approve_in_principle,True,pass,True,5,12467,721,0.003642023,
CLM-8888,1,True,completed,request_document,True,pass,True,6,15702,1193,0.004701038,
CLM-8888,2,True,completed,request_document,True,pass,True,6,15684,1259,0.004722596,
CLM-8888,3,True,completed,request_document,True,pass,True,6,15697,1298,0.004741693,
CLM-8894,1,True,completed,request_document,True,pass,True,6,15261,1046,0.004523609,
CLM-8894,2,True,completed,request_document,True,pass,True,6,15273,1082,0.004541237,
CLM-8894,3,True,completed,request_document,True,pass,True,6,15273,1178,0.004579637000000001,
CLM-8901,1,True,completed,request_document,True,pass,True,5,12365,794,0.003643785,
CLM-8901,2,True,completed,request_document,True,pass,True,5,12358,762,0.0036291020000000004,
CLM-8901,3,True,completed,request_document,True,pass,True,5,12365,893,0.003683385,
CLM-8910,1,True,completed,escalate,True,pass,True,5,12588,581,0.0036185720000000005,
CLM-8910,2,True,completed,escalate,True,pass,True,5,12604,680,0.003662476,
CLM-8910,3,True,completed,escalate,True,pass,True,5,12602,620,0.003637938,
CLM-8917,1,True,completed,escalate,True,pass,True,5,12308,627,0.0035616520000000002,
CLM-8917,2,True,completed,escalate,True,pass,True,5,12292,624,0.0035561480000000003,
CLM-8917,3,True,completed,escalate,True,pass,True,5,12308,694,0.003588452,
CLM-8925,1,True,completed,escalate,True,pass,True,5,12891,687,0.0037424790000000004,
CLM-8925,2,True,completed,escalate,True,pass,True,5,12795,695,0.003719855,
CLM-8925,3,True,completed,escalate,True,pass,True,5,12885,623,0.003715265,
CLM-8933,1,True,completed,escalate,True,pass,True,4,9592,407,0.002743048,
CLM-8933,2,True,completed,escalate,True,pass,True,4,9357,447,0.002695833,
CLM-8933,3,True,completed,escalate,True,pending,False,4,9606,429,0.002755614,
CLM-8941,1,True,completed,escalate,True,pass,True,5,12143,1397,0.0038252670000000003,
CLM-8941,2,True,completed,escalate,True,pass,True,4,9532,1017,0.0029709080000000004,
CLM-8941,3,True,completed,escalate,True,pass,True,4,9467,921,0.002915023,
CLM-8952,1,True,completed,escalate,True,pass,True,5,12495,688,0.003636355,
CLM-8952,2,True,completed,escalate,True,pass,True,4,9723,537,0.002830287,
CLM-8952,3,True,completed_with_tool_issues,escalate,False,not_reviewable,False,6,15020,751,0.004340780000000001,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-8960,1,False,completed,approve_in_principle,True,pass,True,5,13136,1032,0.003946384,
CLM-8971,1,False,completed,approve_in_principle,True,pass,True,5,12230,728,0.00358107,
CLM-16001,1,False,completed,approve_in_principle,True,pass,True,5,13020,919,0.0038699800000000003,
CLM-16002,1,False,completed,approve_in_principle,True,pass,True,5,12585,717,0.0036721650000000002,
CLM-16003,1,False,completed,approve_in_principle,True,pass,True,5,12565,697,0.0036587850000000008,
CLM-16004,1,False,completed,approve_in_principle,True,pass,True,5,12998,931,0.0038688620000000003,
CLM-16005,1,True,completed,request_document,True,pass,True,6,15126,946,0.004447294,
CLM-16005,2,True,completed,request_document,True,pass,True,6,15127,851,0.004409563000000001,
CLM-16005,3,True,completed,request_document,True,pass,True,6,15149,1013,0.004480281,
CLM-16101,1,False,completed,approve_in_principle,True,pass,True,6,15002,964,0.004421138,
CLM-16102,1,False,completed,approve_in_principle,True,pass,True,5,12426,718,0.0036297940000000004,
CLM-16103,1,False,completed,approve_in_principle,True,pass,True,6,14999,920,0.004402731000000001,
CLM-16104,1,False,completed,approve_in_principle,True,pass,True,6,15793,1090,0.004684317,
CLM-16105,1,True,completed,request_document,True,pass,True,6,15008,1000,0.004437152000000001,
CLM-16105,2,True,completed,request_document,True,pass,True,6,15008,1102,0.004477952000000001,
CLM-16105,3,True,completed,request_document,True,pass,True,5,12464,1150,0.0038128160000000006,
CLM-16201,1,False,completed,approve_in_principle,True,pass,True,5,12296,776,0.003618024,
CLM-16202,1,False,completed,approve_in_principle,True,pass,True,5,12275,682,0.0035747750000000005,
CLM-16203,1,False,completed,approve_in_principle,True,pass,True,5,12258,848,0.003636602,
CLM-16204,1,False,completed,approve_in_principle,True,pass,True,5,12367,683,0.0035999230000000005,
CLM-16205,1,True,completed,escalate,True,pass,True,5,12337,779,0.003630253000000001,
CLM-16205,2,True,completed,escalate,True,pass,True,5,12339,1077,0.0037499910000000003,
CLM-16205,3,True,completed,escalate,True,pass,True,6,14706,952,0.004336714,
CLM-16301,1,False,completed,approve_in_principle,True,pass,True,5,12373,670,0.0035963370000000002,
CLM-16302,1,False,completed,approve_in_principle,True,pass,True,5,12366,701,0.003606854,
CLM-16303,1,False,completed,approve_in_principle,True,pass,True,5,12273,944,0.003679037,
CLM-16304,1,False,completed,approve_in_principle,True,pass,True,5,12770,831,0.0037675300000000003,
CLM-16305,1,True,completed,escalate,True,pass,True,5,12349,702,0.0036026810000000004,
CLM-16305,2,True,completed,escalate,True,pass,True,5,12333,654,0.0035791770000000007,
CLM-16305,3,True,completed,escalate,True,pass,True,5,12334,626,0.0035682460000000006,
CLM-16401,1,False,completed,approve_in_principle,True,pass,True,5,12474,678,0.0036267060000000004,
CLM-16402,1,False,completed,approve_in_principle,True,pass,True,5,12465,707,0.0036358850000000006,
CLM-16403,1,False,completed,approve_in_principle,True,pass,True,6,15999,1153,0.004764931,
CLM-16404,1,False,completed,approve_in_principle,True,pass,True,6,16126,1510,0.0049418940000000005,
CLM-16405,1,True,completed,escalate,True,pass,True,5,12424,583,0.0035752560000000006,
CLM-16405,2,True,completed,escalate,True,pass,True,5,12423,585,0.003575787,
CLM-16405,3,True,completed,escalate,True,pass,True,5,12401,602,0.003576669,
CLM-16501,1,False,completed,approve_in_principle,True,pass,True,5,12359,756,0.003626971,
CLM-16502,1,False,completed_with_tool_issues,approve_in_principle,False,not_reviewable,False,5,12667,701,0.0036878230000000002,execution not completed: completed_with_tool_issues; missing or unsuccessful tool trace
CLM-16503,1,False,completed,approve_in_principle,True,pass,True,5,12381,729,0.003622089,
CLM-16504,1,False,error,,False,not_reviewable,False,2,4519,1395,0.0017736110000000002,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; missing core coverage evidence; wrong line count; line[0] 70553: missing line occurrence; 70553: missing check_procedure; 70553: missing check_documents; wrong approved_total; wrong refused_total
CLM-16505,1,True,completed,escalate,True,pass,True,4,9567,391,0.002729923,
CLM-16505,2,True,completed,escalate,True,pass,True,4,9572,435,0.002748868,
CLM-16505,3,True,completed,escalate,True,pass,True,4,9568,423,0.002742992,
