case_id,trial,negative,status,decision,code_passed,judgement,overall_passed,turns,tokens_in,tokens_out,cost_usd,failures
CLM-8842,1,False,error,,False,not_reviewable,False,5,13265,1034,0.00150209375,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 47120: missing line occurrence; line[1] 62480: missing line occurrence; line[2] 31255: missing line occurrence; wrong approved_total; wrong refused_total
CLM-8850,1,False,completed,approve_in_principle,True,pending,False,5,12584,628,0.00133675,
CLM-8861,1,False,completed,approve_in_principle,True,pending,False,5,13140,915,0.001460625,
CLM-8874,1,False,error,,False,not_reviewable,False,4,9825,452,0.0010340937499999999,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 70553: missing line occurrence; wrong approved_total; wrong refused_total
CLM-8888,1,True,error,,False,not_reviewable,False,4,10138,932,0.0011834375,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 47120: missing line occurrence; line[1] 62480: missing line occurrence; line[2] 31255: missing line occurrence; wrong named missing item / line / service date
CLM-8888,2,True,error,,False,not_reviewable,False,4,10138,1015,0.0012041875,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 47120: missing line occurrence; line[1] 62480: missing line occurrence; line[2] 31255: missing line occurrence; wrong named missing item / line / service date
CLM-8888,3,True,error,,False,not_reviewable,False,4,10138,870,0.0011679375,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 47120: missing line occurrence; line[1] 62480: missing line occurrence; line[2] 31255: missing line occurrence; wrong named missing item / line / service date
CLM-8894,1,True,error,,False,not_reviewable,False,4,9905,779,0.0011233437500000002,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; wrong named missing item / line / service date
CLM-8894,2,True,error,,False,not_reviewable,False,4,9905,768,0.00112059375,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; wrong named missing item / line / service date
CLM-8894,3,True,error,,False,not_reviewable,False,5,12627,818,0.0013882812500000002,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 29881: missing line occurrence; wrong named missing item / line / service date
CLM-8901,1,True,error,,False,not_reviewable,False,4,9762,423,0.0010209375,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 45378: missing line occurrence; wrong named missing item / line / service date
CLM-8901,2,True,error,,False,not_reviewable,False,4,9762,578,0.0010596874999999999,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 45378: missing line occurrence; wrong named missing item / line / service date
CLM-8901,3,True,error,,False,not_reviewable,False,4,9762,414,0.0010186875,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong line count; line[0] 45378: missing line occurrence; wrong named missing item / line / service date
CLM-8910,1,True,not_recorded,escalate,False,not_reviewable,False,4,10011,434,0.0010470312499999998,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8910,2,True,not_recorded,escalate,False,not_reviewable,False,4,10011,429,0.0010457812499999998,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8910,3,True,not_recorded,escalate,False,not_reviewable,False,4,10011,433,0.00104678125,execution not completed: not_recorded; expected one actual gated write; missing read/write evidence
CLM-8917,1,True,completed,escalate,True,pending,False,5,12545,570,0.00131859375,
CLM-8917,2,True,error,,False,not_reviewable,False,4,9747,515,0.00104253125,execution not completed: error; wrong decision; output schema: non-escalation requires every billed line and its disposition; expected one actual gated write; missing read/write evidence; unsupported evidence citations; wrong escalation trigger; wrong escalation recipient
CLM-8917,3,True,completed,escalate,True,pending,False,5,12545,572,0.00131909375,
