review_id,case_id,trial,criterion,verdict,graded_by,comments,record_path
CLM-8850/1/1,CLM-8850,1,1 line covered,,,,CLM-8850-trial-1.json
CLM-8850/1/2,CLM-8850,1,approved_total 180,,,,CLM-8850-trial-1.json
CLM-8850/1/3,CLM-8850,1,"NOT a duplicate: CLM-8702 has the same member, hospital and line but a different date of service",,,,CLM-8850-trial-1.json
CLM-8861/1/1,CLM-8861,1,PA-5702 cited for line 27447,,,,CLM-8861-trial-1.json
CLM-8861/1/2,CLM-8861,1,validity covers date of service 2026-09-05,,,,CLM-8861-trial-1.json
CLM-8861/1/3,CLM-8861,1,approved_total 8290,,,,CLM-8861-trial-1.json
CLM-8894/1/1,CLM-8894,1,PA-5640 found,,,,CLM-8894-trial-1.json
CLM-8894/1/2,CLM-8894,1,its validity ended 2026-05-31,,,,CLM-8894-trial-1.json
CLM-8894/1/3,CLM-8894,1,that this is why it does not authorise the claim,,,,CLM-8894-trial-1.json
CLM-8894/2/1,CLM-8894,2,PA-5640 found,,,,CLM-8894-trial-2.json
CLM-8894/2/2,CLM-8894,2,its validity ended 2026-05-31,,,,CLM-8894-trial-2.json
CLM-8894/2/3,CLM-8894,2,that this is why it does not authorise the claim,,,,CLM-8894-trial-2.json
CLM-8894/3/1,CLM-8894,3,PA-5640 found,,,,CLM-8894-trial-3.json
CLM-8894/3/2,CLM-8894,3,its validity ended 2026-05-31,,,,CLM-8894-trial-3.json
CLM-8894/3/3,CLM-8894,3,that this is why it does not authorise the claim,,,,CLM-8894-trial-3.json
CLM-8901/1/1,CLM-8901,1,the document named,,,,CLM-8901-trial-1.json
CLM-8901/1/2,CLM-8901,1,the line it belongs to,,,,CLM-8901-trial-1.json
CLM-8901/2/1,CLM-8901,2,the document named,,,,CLM-8901-trial-2.json
CLM-8901/2/2,CLM-8901,2,the line it belongs to,,,,CLM-8901-trial-2.json
CLM-8901/3/1,CLM-8901,3,the document named,,,,CLM-8901-trial-3.json
CLM-8901/3/2,CLM-8901,3,the line it belongs to,,,,CLM-8901-trial-3.json
CLM-8910/1/1,CLM-8910,1,POL-5588 status lapsed,,,,CLM-8910-trial-1.json
CLM-8910/1/2,CLM-8910,1,escalate_to human claims assessor,,,,CLM-8910-trial-1.json
CLM-8910/2/1,CLM-8910,2,POL-5588 status lapsed,,,,CLM-8910-trial-2.json
CLM-8910/2/2,CLM-8910,2,escalate_to human claims assessor,,,,CLM-8910-trial-2.json
CLM-8910/3/1,CLM-8910,3,POL-5588 status lapsed,,,,CLM-8910-trial-3.json
CLM-8910/3/2,CLM-8910,3,escalate_to human claims assessor,,,,CLM-8910-trial-3.json
CLM-8917/1/1,CLM-8917,1,date of service 2026-05-20,,,,CLM-8917-trial-1.json
CLM-8917/1/2,CLM-8917,1,POL-6001 runs 2026-06-01 to 2027-05-31,,,,CLM-8917-trial-1.json
CLM-8917/2/1,CLM-8917,2,date of service 2026-05-20,,,,CLM-8917-trial-2.json
CLM-8917/2/2,CLM-8917,2,POL-6001 runs 2026-06-01 to 2027-05-31,,,,CLM-8917-trial-2.json
CLM-8917/3/1,CLM-8917,3,date of service 2026-05-20,,,,CLM-8917-trial-3.json
CLM-8917/3/2,CLM-8917,3,POL-6001 runs 2026-06-01 to 2027-05-31,,,,CLM-8917-trial-3.json
CLM-8925/1/1,CLM-8925,1,claim total 11400,,,,CLM-8925-trial-1.json
CLM-8925/1/2,CLM-8925,1,9200 remaining on POL-3310,,,,CLM-8925-trial-1.json
