review_id,case_id,trial,criterion,verdict,graded_by,comments,record_path
CLM-8901/2/1,CLM-8901,2,the document named,,,,CLM-8901-trial-2.json
CLM-8901/2/2,CLM-8901,2,the line it belongs to,,,,CLM-8901-trial-2.json
CLM-16303/1/1,CLM-16303,1,15823 refused under EX-14 cosmetic dermatology,,,,CLM-16303-trial-1.json
CLM-16303/1/2,CLM-16303,1,the claim remains approve_in_principle because the single line is resolved,,,,CLM-16303-trial-1.json
CLM-16303/1/3,CLM-16303,1,approved_total 0,,,,CLM-16303-trial-1.json
CLM-16303/1/4,CLM-16303,1,refused_total 180,,,,CLM-16303-trial-1.json
CLM-16305/1/1,CLM-16305,1,POL-6001 starts on 2026-06-01,,,,CLM-16305-trial-1.json
CLM-16305/1/2,CLM-16305,1,service date 2026-05-31 is outside the policy dates,,,,CLM-16305-trial-1.json
CLM-16305/1/3,CLM-16305,1,escalate_to human claims assessor,,,,CLM-16305-trial-1.json
CLM-16305/2/1,CLM-16305,2,POL-6001 starts on 2026-06-01,,,,CLM-16305-trial-2.json
CLM-16305/2/2,CLM-16305,2,service date 2026-05-31 is outside the policy dates,,,,CLM-16305-trial-2.json
CLM-16305/2/3,CLM-16305,2,escalate_to human claims assessor,,,,CLM-16305-trial-2.json
CLM-16305/3/1,CLM-16305,3,POL-6001 starts on 2026-06-01,,,,CLM-16305-trial-3.json
CLM-16305/3/2,CLM-16305,3,service date 2026-05-31 is outside the policy dates,,,,CLM-16305-trial-3.json
CLM-16305/3/3,CLM-16305,3,escalate_to human claims assessor,,,,CLM-16305-trial-3.json
